Pollutant,Measure,Measure Info,Location,Period,Start_Date,Value
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Winter 2012-13,2012-12-01,9.57
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Winter 2022-23,2022-12-01,5.33923052
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Annual Average 2023,2023-01-01,6.119536019
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Summer 2015,2015-06-01,8.43
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Winter 2019-20,2019-12-01,6.05
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Summer 2019,2019-06-01,7.25
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Annual Average 2010,2009-12-01,8.71
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Summer 2012,2012-06-01,9.78
Fine particles (PM 2.5),Mean,mcg/m3,South Beach - Tottenville,Summer 2013,2013-06-01,9.13
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",South Beach - Tottenville,2012-2014,2012-01-02,19.59340061
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",South Beach - Tottenville,2015-2017,2015-01-01,13.7
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",Pelham - Throgs Neck,2017-2019,2017-01-01,80.0
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",South Beach - Tottenville,2009-2011,2009-01-01,21.0
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",South Beach - Tottenville,2015-2017,2015-01-01,12.9
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",South Beach - Tottenville,2009-2011,2009-01-01,11.7
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",South Beach - Tottenville,2005-2007,2005-01-01,15.2
Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",South Beach - Tottenville,2017-2019,2017-01-01,10.0
Nitrogen dioxide (NO2),Mean,ppb,East New York,Summer 2013,2013-06-01,16.61
Nitrogen dioxide (NO2),Mean,ppb,East New York,Summer 2021,2021-06-01,10.78578832
Nitrogen dioxide (NO2),Mean,ppb,Bayside - Little Neck,Annual Average 2018,2018-01-01,15.77
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Annual Average 2021,2021-01-01,11.30307725
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Winter 2014-15,2014-12-01,18.29
Nitrogen dioxide (NO2),Mean,ppb,South Beach - Tottenville,Annual Average 2017,2017-01-01,11.7
Nitrogen dioxide (NO2),Mean,ppb,Morrisania and Crotona (CD3),Winter 2018-19,2018-12-01,22.99
Nitrogen dioxide (NO2),Mean,ppb,Morrisania and Crotona (CD3),Annual Average 2020,2020-01-01,18.08
Nitrogen dioxide (NO2),Mean,ppb,Highbridge and Concourse (CD4),Annual Average 2015,2015-01-01,22.44
Fine particles (PM 2.5),Mean,mcg/m3,Greenwich Village - SoHo,Annual Average 2013,2012-12-01,10.81
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Annual Average 2020,2020-01-01,6.35
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Winter 2018-19,2018-12-01,7.59
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint,Annual Average 2015,2015-01-01,10.49
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Gramercy Park - Murray Hill,2015,2015-01-01,41.5
Fine particles (PM 2.5),Mean,mcg/m3,Greenwich Village - SoHo,Annual Average 2012,2011-12-01,10.99
Fine particles (PM 2.5),Mean,mcg/m3,Gramercy Park - Murray Hill,Annual Average 2012,2011-12-01,13.23
Fine particles (PM 2.5),Mean,mcg/m3,Greenwich Village - SoHo,Summer 2022,2022-06-01,8.043034783
Fine particles (PM 2.5),Mean,mcg/m3,Canarsie - Flatlands,Annual Average 2012,2011-12-01,8.37
Nitrogen dioxide (NO2),Mean,ppb,Bushwick (CD4),Summer 2016,2016-06-01,14.8
Nitrogen dioxide (NO2),Mean,ppb,Gramercy Park - Murray Hill,Annual Average 2011,2010-12-01,39.18
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Summer 2014,2014-06-01,16.43
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Annual Average 2011,2010-12-01,22.84
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Winter 2018-19,2018-12-01,20.89
Nitrogen dioxide (NO2),Mean,ppb,Gramercy Park - Murray Hill,Summer 2012,2012-06-01,36.74
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Summer 2021,2021-06-01,11.46463917
Nitrogen dioxide (NO2),Mean,ppb,Bronx,Winter 2021-22,2021-12-01,21.75065849
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Annual Average 2012,2011-12-01,17.22
Nitrogen dioxide (NO2),Mean,ppb,Gramercy Park - Murray Hill,Summer 2022,2022-06-01,19.60382423
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village - SoHo,Annual Average 2012,2011-12-01,29.98
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village - SoHo,Annual Average 2013,2012-12-01,29.19
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village - SoHo,Winter 2010-11,2010-12-01,36.82
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village - SoHo,Summer 2009,2009-06-01,31.61
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Annual Average 2017,2017-01-01,20.39
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point - Mott Haven,Annual Average 2021,2021-01-01,18.51667627
Nitrogen dioxide (NO2),Mean,ppb,Brooklyn,Annual Average 2017,2017-01-01,18.46
Nitrogen dioxide (NO2),Mean,ppb,Ridgewood - Forest Hills,Annual Average 2021,2021-01-01,16.04402697
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Annual Average 2016,2015-12-31,16.04
Fine particles (PM 2.5),Mean,mcg/m3,Lower East Side and Chinatown (CD3),Summer 2022,2022-06-01,7.41411341
Fine particles (PM 2.5),Mean,mcg/m3,Lower Manhattan,Winter 2010-11,2010-12-01,14.81
Fine particles (PM 2.5),Mean,mcg/m3,Lower Manhattan,Annual Average 2013,2012-12-01,11.06
Fine particles (PM 2.5),Mean,mcg/m3,High Bridge - Morrisania,Annual Average 2013,2012-12-01,9.83
Fine particles (PM 2.5),Mean,mcg/m3,High Bridge - Morrisania,Winter 2010-11,2010-12-01,14.72
Fine particles (PM 2.5),Mean,mcg/m3,High Bridge - Morrisania,Annual Average 2021,2021-01-01,6.629757249
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Annual Average 2021,2021-01-01,6.43137482
Nitrogen dioxide (NO2),Mean,ppb,Long Island City and Astoria (CD1),Summer 2016,2016-06-01,15.23
Nitrogen dioxide (NO2),Mean,ppb,Long Island City and Astoria (CD1),Winter 2015-16,2015-12-01,24.39
Nitrogen dioxide (NO2),Mean,ppb,Woodside and Sunnyside (CD2),Summer 2016,2016-06-01,15.8
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Winter 2020-21,2020-12-01,24.96883419
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point and Longwood (CD2),Winter 2015-16,2015-12-01,23.94
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Summer 2010,2010-06-01,21.44
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Summer 2011,2011-06-01,21.37
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village and Soho (CD2),Winter 2020-21,2020-12-01,25.31347964
Nitrogen dioxide (NO2),Mean,ppb,Long Island City and Astoria (CD1),Annual Average 2016,2015-12-31,20.07
Nitrogen dioxide (NO2),Mean,ppb,Woodside and Sunnyside (CD2),Annual Average 2016,2015-12-31,20.79
Nitrogen dioxide (NO2),Mean,ppb,Mott Haven and Melrose (CD1),Annual Average 2018,2018-01-01,21.17
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Summer 2021,2021-06-01,17.37134811
Nitrogen dioxide (NO2),Mean,ppb,Hunts Point and Longwood (CD2),Annual Average 2016,2015-12-31,19.79
Nitrogen dioxide (NO2),Mean,ppb,Mott Haven and Melrose (CD1),Summer 2021,2021-06-01,15.25781582
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Summer 2012,2012-06-01,19.46
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint and Williamsburg (CD1),Summer 2013,2013-06-01,18.98
Nitrogen dioxide (NO2),Mean,ppb,Greenwich Village and Soho (CD2),Summer 2021,2021-06-01,17.81926295
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Summer 2009,2009-06-01,15.22
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Annual Average 2013,2012-12-01,16.36
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Winter 2010-11,2010-12-01,25.7
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Annual Average 2010,2009-12-01,19.01
Nitrogen dioxide (NO2),Mean,ppb,Union Square - Lower East Side,Annual Average 2010,2009-12-01,29.99
Nitrogen dioxide (NO2),Mean,ppb,Union Square - Lower East Side,Winter 2012-13,2012-12-01,31.08
Nitrogen dioxide (NO2),Mean,ppb,Union Square - Lower East Side,Winter 2015-16,2015-12-01,27.88
Nitrogen dioxide (NO2),Mean,ppb,Union Square - Lower East Side,Summer 2016,2016-06-01,20.44
Fine particles (PM 2.5),Mean,mcg/m3,Washington Heights,Summer 2011,2011-06-01,11.58
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Summer 2021,2021-06-01,9.132902315
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Summer 2012,2012-06-01,11.18
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem (CD10),Annual Average 2018,2018-01-01,7.5
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park (CD12),Summer 2013,2013-06-01,10.02
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Summer 2012,2012-06-01,9.72
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Summer 2013,2013-06-01,9.73
Fine particles (PM 2.5),Mean,mcg/m3,South Ozone Park and Howard Beach (CD10),Annual Average 2016,2015-12-31,6.85
Fine particles (PM 2.5),Mean,mcg/m3,Jamaica and Hollis (CD12),Annual Average 2012,2011-12-01,8.45
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Annual Average 2017,2017-01-01,8.42
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Summer 2014,2014-06-01,13.55
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem (CD10),Summer 2023,2023-06-01,13.15002492
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights and Inwood (CD12),Annual Average 2015,2015-01-01,20.72
Fine particles (PM 2.5),Mean,mcg/m3,Washington Heights,Annual Average 2013,2012-12-01,9.48
Fine particles (PM 2.5),Mean,mcg/m3,Washington Heights,Summer 2009,2009-06-01,10.76
Fine particles (PM 2.5),Mean,mcg/m3,Bensonhurst - Bay Ridge,Winter 2008-09,2008-12-01,11.82
Boiler Emissions- Total SO2 Emissions,Number per km2,number,Greenpoint,2015,2015-01-01,0.3
Fine particles (PM 2.5),Mean,mcg/m3,Washington Heights,Annual Average 2012,2011-12-01,9.89
Fine particles (PM 2.5),Mean,mcg/m3,Greenpoint,Annual Average 2012,2011-12-01,10.27
Nitrogen dioxide (NO2),Mean,ppb,South Ozone Park and Howard Beach (CD10),Summer 2016,2016-06-01,12.12
Nitrogen dioxide (NO2),Mean,ppb,South Ozone Park and Howard Beach (CD10),Winter 2015-16,2015-12-01,22.46
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side (CD8),Summer 2011,2011-06-01,28.77
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights and Inwood (CD12),Winter 2015-16,2015-12-01,22.91
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights and Inwood (CD12),Summer 2016,2016-06-01,15.78
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Annual Average 2020,2020-01-01,19.63
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Summer 2014,2014-06-01,16.92
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Annual Average 2016,2015-12-31,16.04
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Summer 2012,2012-06-01,19.39
Nitrogen dioxide (NO2),Mean,ppb,Kingsbridge - Riverdale,Summer 2022,2022-06-01,10.63957234
Nitrogen dioxide (NO2),Mean,ppb,Greenpoint,Annual Average 2012,2011-12-01,23.63
Nitrogen dioxide (NO2),Mean,ppb,Washington Heights,Annual Average 2012,2011-12-01,23.15
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2017,2017-01-01,20.99
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Summer 2021,2021-06-01,9.132902315
Fine particles (PM 2.5),Mean,mcg/m3,Borough Park,Annual Average 2018,2018-01-01,6.99
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Summer 2011,2011-06-01,11.06
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Summer 2019,2019-06-01,9.96
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Annual Average 2023,2023-01-01,14.09699289
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Winter 2022-23,2022-12-01,18.26300034
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Annual Average 2020,2020-01-01,14.02
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Winter 2014-15,2014-12-01,26.22
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Winter 2010-11,2010-12-01,30.1
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Annual Average 2017,2017-01-01,18.81
Nitrogen dioxide (NO2),Mean,ppb,Queens,Winter 2019-20,2019-12-01,22.86
Fine particles (PM 2.5),Mean,mcg/m3,Queens,Summer 2011,2011-06-01,11.23
Fine particles (PM 2.5),Mean,mcg/m3,Queens,Winter 2021-22,2021-12-01,6.681202515
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Annual Average 2016,2015-12-31,8.65
Fine particles (PM 2.5),Mean,mcg/m3,Long Island City - Astoria,Annual Average 2020,2020-01-01,6.83
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Summer 2013,2013-06-01,9.75
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Summer 2012,2012-06-01,9.9
Fine particles (PM 2.5),Mean,mcg/m3,Queens Village (CD13),Annual Average 2012,2011-12-01,8.05
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Summer 2023,2023-06-01,10.44203792
Fine particles (PM 2.5),Mean,mcg/m3,Queens,Annual Average 2012,2011-12-01,8.63
Nitrogen dioxide (NO2),Mean,ppb,Queens,Annual Average 2011,2010-12-01,21.47
Nitrogen dioxide (NO2),Mean,ppb,Queens,Summer 2023,2023-06-01,11.54967618
Nitrogen dioxide (NO2),Mean,ppb,Queens,Summer 2012,2012-06-01,15.84
Nitrogen dioxide (NO2),Mean,ppb,Queens,Summer 2013,2013-06-01,15.6
Nitrogen dioxide (NO2),Mean,ppb,Queens,Winter 2014-15,2014-12-01,23.93
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Annual Average 2013,2012-12-01,20.23
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2013,2012-12-01,22.3
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Summer 2009,2009-06-01,21.87
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2017,2017-01-01,20.99
Nitrogen dioxide (NO2),Mean,ppb,Long Island City - Astoria,Annual Average 2021,2021-01-01,19.0002808
Nitrogen dioxide (NO2),Mean,ppb,Borough Park,Summer 2013,2013-06-01,15.94
Nitrogen dioxide (NO2),Mean,ppb,Canarsie - Flatlands,Annual Average 2016,2015-12-31,15.3
Fine particles (PM 2.5),Mean,mcg/m3,Coney Island (CD13),Annual Average 2012,2011-12-01,8.24
Fine particles (PM 2.5),Mean,mcg/m3,Sheepshead Bay (CD15),Annual Average 2012,2011-12-01,8.32
Nitrogen dioxide (NO2),Mean,ppb,Sheepshead Bay (CD15),Annual Average 2018,2018-01-01,14.49
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side,Winter 2021-22,2021-12-01,23.30976235
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Summer 2013,2013-06-01,20.7
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Summer 2012,2012-06-01,21.24
Nitrogen dioxide (NO2),Mean,ppb,Flushing - Clearview,Annual Average 2016,2015-12-31,18.24
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Annual Average 2016,2015-12-31,19.32
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Summer 2013,2013-06-01,18.74
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Annual Average 2016,2015-12-31,20.2
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Winter 2021-22,2021-12-01,21.05258179
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Annual Average 2016,2015-12-31,17.93
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Annual Average 2018,2018-01-01,17.25
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Summer 2022,2022-06-01,12.54174934
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side,Summer 2022,2022-06-01,15.18150009
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Annual Average 2012,2011-12-01,25.32
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Annual Average 2012,2011-12-01,22.88
Nitrogen dioxide (NO2),Mean,ppb,Fordham - Bronx Pk,Summer 2022,2022-06-01,11.52139831
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Winter 2014-15,2014-12-01,26.39
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Winter 2014-15,2014-12-01,25.37
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Winter 2010-11,2010-12-01,32.92
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Summer 2009,2009-06-01,26.42
Nitrogen dioxide (NO2),Mean,ppb,East Harlem,Annual Average 2013,2012-12-01,24.75
Nitrogen dioxide (NO2),Mean,ppb,Upper East Side,Winter 2014-15,2014-12-01,29.21
Nitrogen dioxide (NO2),Mean,ppb,Sunset Park,Winter 2010-11,2010-12-01,30.6
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Winter 2010-11,2010-12-01,32.21
Nitrogen dioxide (NO2),Mean,ppb,Bedford Stuyvesant - Crown Heights,Annual Average 2013,2012-12-01,22.28
Fine particles (PM 2.5),Mean,mcg/m3,Bedford Stuyvesant - Crown Heights,Winter 2010-11,2010-12-01,12.79
Fine particles (PM 2.5),Mean,mcg/m3,Upper East Side,Annual Average 2013,2012-12-01,11.1
Fine particles (PM 2.5),Mean,mcg/m3,Upper East Side,Winter 2010-11,2010-12-01,14.66
Fine particles (PM 2.5),Mean,mcg/m3,Sunset Park,Winter 2014-15,2014-12-01,9.64
Fine particles (PM 2.5),Mean,mcg/m3,Fordham - Bronx Pk,Winter 2014-15,2014-12-01,10.16
Nitrogen dioxide (NO2),Mean,ppb,Park Slope and Carroll Gardens (CD6),Summer 2010,2010-06-01,21.9
Nitrogen dioxide (NO2),Mean,ppb,Park Slope and Carroll Gardens (CD6),Summer 2011,2011-06-01,21.44
Nitrogen dioxide (NO2),Mean,ppb,Stuyvesant Town and Turtle Bay (CD6),Winter 2020-21,2020-12-01,25.88404044
Nitrogen dioxide (NO2),Mean,ppb,Clinton and Chelsea (CD4),Winter 2020-21,2020-12-01,25.80933499
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Winter 2018-19,2018-12-01,19.11
Nitrogen dioxide (NO2),Mean,ppb,Midtown (CD5),Annual Average 2015,2015-01-01,32.91
Nitrogen dioxide (NO2),Mean,ppb,Brownsville (CD16),Winter 2018-19,2018-12-01,22.76
Nitrogen dioxide (NO2),Mean,ppb,Ridgewood and Maspeth (CD5),Summer 2010,2010-06-01,18.4
Nitrogen dioxide (NO2),Mean,ppb,Ridgewood and Maspeth (CD5),Summer 2011,2011-06-01,18.46
Fine particles (PM 2.5),Mean,mcg/m3,Chelsea - Clinton,Annual Average 2012,2011-12-01,12.42
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Summer 2022,2022-06-01,7.126396863
Fine particles (PM 2.5),Mean,mcg/m3,Downtown - Heights - Slope,Summer 2022,2022-06-01,6.911800513
Nitrogen dioxide (NO2),Mean,ppb,Midtown (CD5),Winter 2015-16,2015-12-01,33.44
Nitrogen dioxide (NO2),Mean,ppb,Chelsea - Clinton,Summer 2023,2023-06-01,21.23435622
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2018,2018-01-01,21.66
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Winter 2021-22,2021-12-01,21.55429779
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Winter 2021-22,2021-12-01,23.33332186
Nitrogen dioxide (NO2),Mean,ppb,Downtown - Heights - Slope,Annual Average 2018,2018-01-01,21.14
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Summer 2013,2013-06-01,14.27
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Summer 2021,2021-06-01,12.38240673
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Annual Average 2016,2015-12-31,22.19
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Summer 2022,2022-06-01,13.24042398
Nitrogen dioxide (NO2),Mean,ppb,Northeast Bronx,Annual Average 2012,2011-12-01,20.02
Nitrogen dioxide (NO2),Mean,ppb,Fresh Meadows,Summer 2009,2009-06-01,19.35
Nitrogen dioxide (NO2),Mean,ppb,Central Harlem - Morningside Heights,Winter 2014-15,2014-12-01,26.74
Nitrogen dioxide (NO2),Mean,ppb,East Flatbush - Flatbush,Summer 2021,2021-06-01,10.74879393
Fine particles (PM 2.5),Mean,mcg/m3,Midtown (CD5),Summer 2022,2022-06-01,8.719927105
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Winter 2014-15,2014-12-01,10.23
Fine particles (PM 2.5),Mean,mcg/m3,Northeast Bronx,Annual Average 2013,2012-12-01,8.73
Fine particles (PM 2.5),Mean,mcg/m3,Northeast Bronx,Summer 2009,2009-06-01,10.33
Fine particles (PM 2.5),Mean,mcg/m3,Northeast Bronx,Annual Average 2021,2021-01-01,6.493489505
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Annual Average 2018,2018-01-01,7.53
Fine particles (PM 2.5),Mean,mcg/m3,Central Harlem - Morningside Heights,Annual Average 2016,2015-12-31,7.95
Nitrogen dioxide (NO2),Mean,ppb,Brownsville (CD16),Summer 2011,2011-06-01,19.48
Nitrogen dioxide (NO2),Mean,ppb,Brownsville (CD16),Summer 2010,2010-06-01,19.57
Nitrogen dioxide (NO2),Mean,ppb,Midtown (CD5),Summer 2016,2016-06-01,28.83
Fine particles (PM 2.5),Mean,mcg/m3,Coney Island - Sheepshead Bay,Summer 2021,2021-06-01,8.006196328
Fine particles (PM 2.5),Mean,mcg/m3,East Harlem (CD11),Summer 2011,2011-06-01,12.1
Fine particles (PM 2.5),Mean,mcg/m3,East Harlem (CD11),Summer 2010,2010-06-01,12.63
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Winter 2022-23,2022-12-01,6.665068392
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Annual Average 2023,2023-01-01,7.068291669
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Winter 2012-13,2012-12-01,10.76
Nitrogen dioxide (NO2),Mean,ppb,Morris Park and Bronxdale (CD11),Summer 2015,2015-06-01,15.65
Nitrogen dioxide (NO2),Mean,ppb,Parkchester and Soundview (CD9),Winter 2022-23,2022-12-01,20.96169918
Nitrogen dioxide (NO2),Mean,ppb,Parkchester and Soundview (CD9),Annual Average 2023,2023-01-01,16.35206527
Nitrogen dioxide (NO2),Mean,ppb,Kew Gardens and Woodhaven (CD9),Summer 2023,2023-06-01,12.29498083
Nitrogen dioxide (NO2),Mean,ppb,Morningside Heights and Hamilton Heights (CD9),Annual Average 2015,2015-01-01,22.95
Nitrogen dioxide (NO2),Mean,ppb,East Harlem (CD11),Annual Average 2009,2008-12-01,29.83
Nitrogen dioxide (NO2),Mean,ppb,East Harlem (CD11),Annual Average 2011,2010-12-01,27.57
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Annual Average 2023,2023-01-01,13.9507122
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Winter 2022-23,2022-12-01,18.29529819
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Winter 2014-15,2014-12-01,23.96
Nitrogen dioxide (NO2),Mean,ppb,Coney Island - Sheepshead Bay,Annual Average 2021,2021-01-01,14.68344079
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Winter 2022-23,2022-12-01,22.48203662
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Annual Average 2023,2023-01-01,18.4099093
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Winter 2012-13,2012-12-01,26.15
Nitrogen dioxide (NO2),Mean,ppb,West Queens,Winter 2019-20,2019-12-01,26.72
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Summer 2010,2010-06-01,12.34
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Winter 2021-22,2021-12-01,7.128130858
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Summer 2013,2013-06-01,10.71
Fine particles (PM 2.5),Mean,mcg/m3,West Queens,Annual Average 2016,2015-12-31,8.14
Fine particles (PM 2.5),Mean,mcg/m3,Rockaways,Annual Average 2009,2008-12-01,8.75
Fine particles (PM 2.5),Mean,mcg/m3,Rockaways,Annual Average 2011,2010-12-01,8.44
Fine particles (PM 2.5),Mean,mcg/m3,Rockaways,Summer 2014,2014-06-01,7.37
Fine particles (PM 2.5),Mean,mcg/m3,Rockaways,Annual Average 2015,2015-01-01,7.16
Fine particles (PM 2.5),Mean,mcg/m3,Coney Island - Sheepshead Bay,Summer 2023,2023-06-01,8.334285294
Fine particles (PM 2.5),Mean,mcg/m3,East Harlem (CD11),Summer 2013,2013-06-01,10.9
Fine particles (PM 2.5),Mean,mcg/m3,East Harlem (CD11),Summer 2012,2012-06-01,10.99
Fine particles (PM 2.5),Mean,mcg/m3,Kew Gardens and Woodhaven (CD9),Winter 2021-22,2021-12-01,6.754080068
Fine particles (PM 2.5),Mean,mcg/m3,Kew Gardens and Woodhaven (CD9),Annual Average 2012,2011-12-01,8.63
